"117;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""size"";""size"";""size"";""3"""
"118;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""number"";""number"";""number"";""2"""
"119;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""composit"";""composite"";""composite"";""2"""
"120;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""gap"";""gap"";""gap"";""2"""
"121;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""run"";""run"";""run"";""2"""
"122;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""prefer"";""preferences"";""preferences"";""19"""
"123;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""size"";""size"";""size"";""11"""
"124;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""sound"";""sound"";""sound"";""7"""
"125;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""dimens"";""dimension"";""dimension"";""6"""
"126;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""spinner"";""spinner"";""spinner"";""5"""
"127;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""common"";""common"";""common"";""4"""
"128;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""height"";""height"";""height"";""4"""
"129;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""width"";""width"";""width"";""4"""
"130;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""store"";""store"";""store"";""4"""
"131;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""instanc"";""instance"";""instance"";""4"""
"132;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""sound"";""sound"";""sound"";""11"""
"133;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""manag"";""manager"";""manager"";""4"""
"134;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""plai"";""play"";""play"";""3"""
"135;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""stop"";""stop"";""stop"";""3"""
"136;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""game"";""game"";""game"";""3"""
"137;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""player"";""player"";""player"";""2"""
"138;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""instanc"";""instance"";""instance"";""2"""
"139;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""stream"";""streams"";""streams"";""1"""
"140;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""close"";""close"";""close"";""1"""
"141;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""audiostream"";""audiostream"";""audiostream"";""1"""
"142;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""properti"";""property"";""property"";""38"""
"143;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""select"";""selected"";""selected"";""25"""
"144;""2"";""F:\SERL Internship\Final Repo Build Projects\acoustic-memory-1.0-src"";""card"";""card"";""card"";""14"""
